Feature,Times Largest Weight
explosion,3
mother-daughter-relationship,2
Average Rating,2
based-on-novel,2
Romance,2
divorce,1
Action,1
family-relationships,1
blockbuster,1
brother-brother-relationship,1
Animation,1
