Feature,Times Lowest Weight
Average Rating,4
title-spoken-by-character,3
trial,2
kidnapping,2
coffin,1
good-versus-evil,1
Adventure,1
1970s,1
ship,1
Animation,1
"DeVito, Danny",1
1930s,1
