Feature,Weights
Children's,0.0456
liar,0.0442
gay-slur,0.0360
betrayal,0.0298
rooftop,0.0209
paranoia,0.0114
orphan,0.0107
based-on-play,-0.0022
camera,-0.0032
fire,-0.0295
kiss,-0.0310
ship,-0.0460
Animation,-0.0778
Average Rating,-0.0900
