Feature,Times Largest Weight
Average Rating,12
Action,11
Animation,9
boy,4
1980s,3
blockbuster,3
child's-point-of-view,2
Horror,2
female-frontal-nudity,2
teenage-boy,2
Adventure,2
surrealism,1
orphan,1
based-on-play,1
Comedy,1
Western,1
"Ventimiglia, John (I)",1
teenager,1
Mystery,1
electrocution,1
independent-film,1
1990s,1
motorcycle,1
kitchen,1
bridge,1
disguise,1
dog,1
conspiracy,1
child-in-peril,1
swimming,1
