Feature,Times Lowest Weight
Romance,11
Average Rating,11
Thriller,10
Children's,9
cult-film,7
three-word-title,4
television,3
drunkenness,3
surprise-ending,2
knife,2
1950s,2
police-officer,1
shot-in-the-head,1
title-directed-by-female,1
Sci-Fi,1
Comedy,1
car-accident,1
high-school,1
