Feature,Weights
brother-brother-relationship,0.0918
Average Rating,0.0860
betrayal,0.0298
christmas,0.0285
singer,0.0260
child-in-peril,0.0217
redemption,0.0166
police-officer,0.0160
dysfunctional-family,0.0127
crying,0.0109
police-officer-killed,0.0102
warrior,0.0069
based-on-play,0.0021
conspiracy,0.0012
boy,0.0003
Comedy,-0.0047
action-hero,-0.0180
teacher,-0.0198
torture,-0.0428
Animation,-0.0778
