Feature,Weights
based-on-novel,0.0173761294866
blockbuster,0.0154818055707
female-nudity,0.0101260672204
gunfight,0.00825198687495
teacher,0.00750579313574
fire,0.00709801234315
convertible,0.00630888393881
Horror,0.00523190169162
camera,0.00459456043118
Thriller,0.00403622985037
19th-century,0.000937008305624
baby,0.000937008305624
photograph,-0.0108842898264
actress,-0.026314194521
Average Rating,-0.0346984803056
